phase,metric,n_SAD,n_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,p,q_within_phase_feature,scalar_auc_abs_direction,metric_family,profile,interpretation
phase2_extinction,Neural_TrialwiseEvidenceCertainty,23,28,-0.0345606989216674,-0.7039975619197413,-0.6931668301978992,-0.3198757763975155,0.0114249202328053,0.328664735594469,0.6599378881987578,representational_certainty,Q4_precision_dispersion,Mean absolute trialwise distance from the safety/threat decision boundary.
phase2_extinction,Neural_DynamicDiscrimination_Volatility,23,28,-0.112107083745404,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,0.0177983203483967,0.328664735594469,0.6816770186335404,trajectory_volatility,Q3_learning_dynamics,Derived FearNetwork profile metric.
phase2_extinction,Neural_PrototypeDynamicDiscrimination_Volatility,23,28,-0.112107083745404,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,0.0177983203483967,0.328664735594469,0.6816770186335404,trajectory_volatility,Q3_learning_dynamics,Derived FearNetwork profile metric.
phase2_extinction,Neural_PrototypeEvidenceCertainty,23,28,-0.0374271724686768,-0.6043564212417819,-0.5950586301457546,-0.3850931677018634,0.0352006750299172,0.328664735594469,0.6925465838509317,representational_certainty,Q4_precision_dispersion,Mean absolute distance from ambiguous prototype evidence for safety and threat cues.
phase2_extinction,Neural_RawMean_SafetyMinusBackground,23,28,7.1154041790073705,0.5431286746723434,0.5347728489081535,0.2515527950310559,0.0580518206762175,0.328664735594469,0.6257763975155279,raw_activation_mean,Q5_activation_magnitude_secondary,Derived FearNetwork profile metric.
phase2_extinction,Neural_Certainty_CSS,23,28,-0.0495511489255648,-0.5426896343684646,-0.5343405630704883,-0.4161490683229814,0.0520148959410748,0.328664735594469,0.7080745341614907,representational_certainty,Q2_decision_evidence,Certainty of expected safety-state evidence for CSS relative to maximal ambiguity.
phase2_extinction,Neural_SafetyEvidenceCertainty,23,28,-0.0495511489255648,-0.5426896343684646,-0.5343405630704883,-0.4161490683229814,0.0520148959410748,0.328664735594469,0.7080745341614907,representational_certainty,Q4_precision_dispersion,Derived FearNetwork profile metric.
phase2_extinction,Neural_Threat_Volatility,23,28,-0.0798257798990891,-0.5322713025272776,-0.5240825132576272,-0.217391304347826,0.0527338240962604,0.328664735594469,0.6086956521739131,trajectory_volatility,Q3_learning_dynamics,Trial-to-trial instability in threat evidence.
phase2_extinction,Neural_ThreatTriangleOpenness,23,28,-0.1636371405469323,-0.5308226044696933,-0.5226561028624673,-0.2950310559006212,0.0668941254000127,0.328664735594469,0.6475155279503106,geometry_triangle,Q1_geometry_topology,Whether threat is farther from background than safety is; positive values indicate an open threat-safety-background geometry.
phase2_extinction,Neural_Safety_Differentiation,23,28,-0.1636371405469323,-0.5308226044696933,-0.5226561028624673,-0.2950310559006212,0.0668941254000127,0.328664735594469,0.6475155279503106,other,Q1_geometry_topology,Threat-background minus safety-background distance; positive values indicate threat is more differentiated from CS- than safety is.
phase2_extinction,Neural_ThreatTriangleOpenness_Normalized,23,28,-0.0606974612290738,-0.5296361539105328,-0.5214879053888323,-0.3012422360248448,0.0675330885839519,0.328664735594469,0.6506211180124224,geometry_triangle,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_Threat_Safety_Distance,23,28,-0.0606974612290738,-0.5296361539105328,-0.5214879053888323,-0.3012422360248448,0.0675330885839519,0.328664735594469,0.6506211180124224,other,Q1_geometry_topology,"Normalized threat-background minus safety-background distance; positive values indicate threat is more differentiated from CS- than safety is, scaled by the total CS-anchored distance."
phase2_extinction,Neural_PrototypeEvidenceEntropy,23,28,0.0176722194329531,0.5191447047311649,0.5111578631199163,0.2360248447204969,0.0716052240563131,0.328664735594469,0.6180124223602484,representational_certainty,Q4_precision_dispersion,Mean binary entropy of safety and threat prototype evidence; lower values indicate more certain evidence.
phase2_extinction,Neural_RawNorm_ThreatMinusSafety,23,28,-1291.8604387555804,-0.5036491003644858,-0.4959006526665707,-0.1459627329192546,0.092713429029576,0.328664735594469,0.5729813664596273,raw_pattern_norm,Q5_activation_magnitude_secondary,Derived FearNetwork profile metric.
phase2_extinction,Neural_Dist_Threat_Background,23,28,-0.0786500863315604,-0.4993130805700256,-0.4916313408689484,-0.2111801242236025,0.0987415613661051,0.328664735594469,0.6055900621118013,pairwise_geometry,Q1_geometry_topology,Pattern distance between reinforced/threat cue and background cue.
phase2_extinction,Neural_Certainty_CSR,23,28,-0.0253031960117887,-0.4932169810217465,-0.4856290274675658,-0.2111801242236025,0.1079551736179395,0.328664735594469,0.6055900621118013,representational_certainty,Q2_decision_evidence,Certainty of expected threat-state evidence for CSR relative to maximal ambiguity.
phase2_extinction,Neural_ThreatEvidenceCertainty,23,28,-0.0253031960117887,-0.4932169810217465,-0.4856290274675658,-0.2111801242236025,0.1079551736179395,0.328664735594469,0.6055900621118013,representational_certainty,Q4_precision_dispersion,Derived FearNetwork profile metric.
phase2_extinction,Neural_ThreatEvidence,23,28,-0.0126515980058943,-0.4932169810217443,-0.4856290274675636,-0.2111801242236025,0.107955173617941,0.328664735594469,0.6055900621118013,prototype_evidence,Q2_decision_evidence,Prototype evidence that threat trials look threat-like rather than background-like.
phase2_extinction,Neural_PrototypeThreatLike_Threat,23,28,-0.0126515980058943,-0.4932169810217443,-0.4856290274675636,-0.2111801242236025,0.107955173617941,0.328664735594469,0.6055900621118013,other,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_SafetyVsBackgroundDispersion,23,28,0.0309111810290339,0.4915764525754797,0.4840137379204724,0.1770186335403725,0.1015829810703817,0.328664735594469,0.5885093167701863,within_cue_dispersion,Q4_precision_dispersion,Whether safety patterns are more variable around their prototype than background patterns.
phase2_extinction,Neural_CorrTriangleAngle_Safety,23,28,-4.574118716862721,-0.4910631312175605,-0.4835083138142134,-0.2080745341614907,0.097105853924481,0.328664735594469,0.6040372670807453,geometry_triangle,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_ThreatToBackgroundDistanceRatio,23,28,-0.1403632702245763,-0.4770636776252192,-0.4697242364309851,-0.3012422360248448,0.0860915082735536,0.328664735594469,0.6506211180124224,normalized_geometry_ratio,Q1_geometry_topology,Ratio of threat-background distance to safety-background distance.
phase2_extinction,Neural_VicariousDiscrimination,23,28,-0.1255706204414663,-0.470418404939088,-0.4631811987092559,-0.2391304347826087,0.0930316835709128,0.328664735594469,0.6195652173913044,composite_geometry,Q1_geometry_topology,Composite separation of threat from safety/background after accounting for safety-background distance.
phase2_extinction,Neural_CorrTriangleAngle_Threat,23,28,4.665834389380386,0.4704101838443803,0.4631731040929283,0.2608695652173911,0.0935583808314693,0.328664735594469,0.6304347826086956,geometry_triangle,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_VicariousDiscrimination_Normalized,23,28,-0.0855787327477994,-0.4698352421333914,-0.4626070076390315,-0.2391304347826087,0.0932548009546023,0.328664735594469,0.6195652173913044,composite_geometry,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_SafetySimilarity_Background,23,28,-0.0849870542153723,-0.4614252999197979,-0.4543264491518011,-0.2453416149068323,0.0977106806085329,0.328664735594469,0.6226708074534162,pairwise_geometry,Q1_geometry_topology,Derived FearNetwork profile metric.
phase2_extinction,Neural_Dist_Safety_Background,23,28,0.0849870542153723,0.4614252999197979,0.4543264491518011,0.2453416149068323,0.097710680608533,0.328664735594469,0.6226708074534162,pairwise_geometry,Q1_geometry_topology,Pattern distance between safety cue and background cue.
phase2_extinction,Neural_Safety_Volatility,23,28,-0.0378235551761948,-0.4500918247627954,-0.4431673351510601,-0.1956521739130434,0.1026496604595327,0.328664735594469,0.5978260869565217,trajectory_volatility,Q3_learning_dynamics,Trial-to-trial instability in safety evidence.
phase2_extinction,Neural_PrototypeEvidenceMargin,23,28,-0.0168291726971112,-0.4455855870099528,-0.4387304241328766,-0.2453416149068322,0.1107081214634,0.328664735594469,0.6226708074534162,representational_certainty,Q4_precision_dispersion,Mean signed distance from ambiguous prototype evidence for safety and threat cues.
phase2_extinction,Neural_BoundarySeparation,23,28,-0.0336583453942225,-0.4455855870099527,-0.4387304241328765,-0.2453416149068322,0.1107081214634,0.328664735594469,0.6226708074534162,decision_boundary,Q2_decision_evidence,Difference between threat evidence for CSR and threat evidence for CSS.
phase2_extinction,Neural_PrototypeBoundarySeparation,23,28,-0.0336583453942225,-0.4455855870099527,-0.4387304241328765,-0.2453416149068322,0.1107081214634,0.328664735594469,0.6226708074534162,decision_boundary,Q2_decision_evidence,Derived FearNetwork profile metric.
phase2_extinction,Neural_BoundaryCertainty,23,28,-0.0336583453942225,-0.4455855870099527,-0.4387304241328765,-0.2453416149068322,0.1107081214634,0.328664735594469,0.6226708074534162,representational_certainty,Q4_precision_dispersion,Absolute separation between prototype threat evidence for CSR and CSS.
phase2_extinction,Neural_Euclid_ThreatTriangleOpenness_Normalized,23,28,-0.0458271171608284,-0.442817015966119,-0.4360044464897172,-0.2204968944099378,0.1210477268494946,0.338221589726529,0.610248447204969,geometry_triangle,Q1_geometry_topology,Derived FearNetwork profile metric.
